,id,datetime,expt_num,sitename,type,sensor_idx,value
178,468,2023-01-29 15:26:00,0,DLSU-BLAST,light_intensity,7,1105.83
179,469,2023-01-29 15:26:00,0,DLSU-BLAST,light_intensity,8,1261.25
180,485,2023-01-29 15:41:00,0,DLSU-BLAST,light_intensity,0,849.583
181,486,2023-01-29 15:41:00,0,DLSU-BLAST,light_intensity,1,642.5
182,487,2023-01-29 15:41:00,0,DLSU-BLAST,light_intensity,2,97.5
183,488,2023-01-29 15:41:00,0,DLSU-BLAST,light_intensity,3,995.417
184,489,2023-01-29 15:41:00,0,DLSU-BLAST,light_intensity,4,915.417
185,490,2023-01-29 15:41:00,0,DLSU-BLAST,light_intensity,5,751.667
186,491,2023-01-29 15:41:00,0,DLSU-BLAST,light_intensity,6,2128.33
187,492,2023-01-29 15:41:00,0,DLSU-BLAST,light_intensity,7,1168.33
188,493,2023-01-29 15:41:00,0,DLSU-BLAST,light_intensity,8,1305.42
189,509,2023-01-29 16:11:00,0,DLSU-BLAST,light_intensity,0,640.0
190,510,2023-01-29 16:11:00,0,DLSU-BLAST,light_intensity,1,471.667
191,511,2023-01-29 16:11:00,0,DLSU-BLAST,light_intensity,2,70.0
192,512,2023-01-29 16:11:00,0,DLSU-BLAST,light_intensity,3,737.5
193,513,2023-01-29 16:11:00,0,DLSU-BLAST,light_intensity,4,672.5
194,514,2023-01-29 16:11:00,0,DLSU-BLAST,light_intensity,5,567.5
195,515,2023-01-29 16:11:00,0,DLSU-BLAST,light_intensity,6,1585.42
196,516,2023-01-29 16:11:00,0,DLSU-BLAST,light_intensity,7,884.167
197,517,2023-01-29 16:11:00,0,DLSU-BLAST,light_intensity,8,941.667
198,533,2023-01-29 16:41:00,0,DLSU-BLAST,light_intensity,0,638.75
199,534,2023-01-29 16:41:00,0,DLSU-BLAST,light_intensity,1,459.167
200,535,2023-01-29 16:41:00,0,DLSU-BLAST,light_intensity,2,62.5
201,536,2023-01-29 16:41:00,0,DLSU-BLAST,light_intensity,3,727.5
202,537,2023-01-29 16:41:00,0,DLSU-BLAST,light_intensity,4,665.833
203,538,2023-01-29 16:41:00,0,DLSU-BLAST,light_intensity,5,558.75
204,539,2023-01-29 16:41:00,0,DLSU-BLAST,light_intensity,6,1576.67
205,540,2023-01-29 16:41:00,0,DLSU-BLAST,light_intensity,7,878.333
206,541,2023-01-29 16:41:00,0,DLSU-BLAST,light_intensity,8,939.583
207,557,2023-01-29 17:11:00,0,DLSU-BLAST,light_intensity,0,632.083
208,558,2023-01-29 17:11:00,0,DLSU-BLAST,light_intensity,1,453.75
209,559,2023-01-29 17:11:00,0,DLSU-BLAST,light_intensity,2,59.5833
210,560,2023-01-29 17:11:00,0,DLSU-BLAST,light_intensity,3,717.917
211,561,2023-01-29 17:11:00,0,DLSU-BLAST,light_intensity,4,659.583
212,562,2023-01-29 17:11:00,0,DLSU-BLAST,light_intensity,5,555.833
213,563,2023-01-29 17:11:00,0,DLSU-BLAST,light_intensity,6,1565.83
214,564,2023-01-29 17:11:00,0,DLSU-BLAST,light_intensity,7,872.5
215,565,2023-01-29 17:11:00,0,DLSU-BLAST,light_intensity,8,939.167
216,581,2023-01-29 17:41:00,0,DLSU-BLAST,light_intensity,0,617.083
217,582,2023-01-29 17:41:00,0,DLSU-BLAST,light_intensity,1,454.583
218,583,2023-01-29 17:41:00,0,DLSU-BLAST,light_intensity,2,55.0
219,584,2023-01-29 17:41:00,0,DLSU-BLAST,light_intensity,3,705.417
220,585,2023-01-29 17:41:00,0,DLSU-BLAST,light_intensity,4,650.833
221,586,2023-01-29 17:41:00,0,DLSU-BLAST,light_intensity,5,552.083
222,587,2023-01-29 17:41:00,0,DLSU-BLAST,light_intensity,6,1552.5
223,588,2023-01-29 17:41:00,0,DLSU-BLAST,light_intensity,7,863.75
224,589,2023-01-29 17:41:00,0,DLSU-BLAST,light_intensity,8,935.0
225,605,2023-01-29 18:11:00,0,DLSU-BLAST,light_intensity,0,639.583
226,606,2023-01-29 18:11:00,0,DLSU-BLAST,light_intensity,1,462.917
227,607,2023-01-29 18:11:00,0,DLSU-BLAST,light_intensity,2,50.8333
228,608,2023-01-29 18:11:00,0,DLSU-BLAST,light_intensity,3,707.083
229,609,2023-01-29 18:11:00,0,DLSU-BLAST,light_intensity,4,654.167
230,610,2023-01-29 18:11:00,0,DLSU-BLAST,light_intensity,5,567.917
231,611,2023-01-29 18:11:00,0,DLSU-BLAST,light_intensity,6,1558.75
232,612,2023-01-29 18:11:00,0,DLSU-BLAST,light_intensity,7,895.833
233,613,2023-01-29 18:11:00,0,DLSU-BLAST,light_intensity,8,945.417
234,629,2023-01-29 18:41:00,0,DLSU-BLAST,light_intensity,0,647.083
235,630,2023-01-29 18:41:00,0,DLSU-BLAST,light_intensity,1,470.833
236,631,2023-01-29 18:41:00,0,DLSU-BLAST,light_intensity,2,48.75
237,632,2023-01-29 18:41:00,0,DLSU-BLAST,light_intensity,3,720.0
238,633,2023-01-29 18:41:00,0,DLSU-BLAST,light_intensity,4,657.5
239,634,2023-01-29 18:41:00,0,DLSU-BLAST,light_intensity,5,581.667
240,635,2023-01-29 18:41:00,0,DLSU-BLAST,light_intensity,6,1557.5
241,636,2023-01-29 18:41:00,0,DLSU-BLAST,light_intensity,7,892.917
242,637,2023-01-29 18:41:00,0,DLSU-BLAST,light_intensity,8,947.5
243,653,2023-01-29 19:11:00,0,DLSU-BLAST,light_intensity,0,684.583
244,654,2023-01-29 19:11:00,0,DLSU-BLAST,light_intensity,1,487.5
245,655,2023-01-29 19:11:00,0,DLSU-BLAST,light_intensity,2,54.5833
246,656,2023-01-29 19:11:00,0,DLSU-BLAST,light_intensity,3,767.917
247,657,2023-01-29 19:11:00,0,DLSU-BLAST,light_intensity,4,672.5
248,658,2023-01-29 19:11:00,0,DLSU-BLAST,light_intensity,5,642.083
249,659,2023-01-29 19:11:00,0,DLSU-BLAST,light_intensity,6,1579.58
250,660,2023-01-29 19:11:00,0,DLSU-BLAST,light_intensity,7,935.833
251,661,2023-01-29 19:11:00,0,DLSU-BLAST,light_intensity,8,971.667
252,677,2023-01-29 19:41:00,0,DLSU-BLAST,light_intensity,0,660.417
253,678,2023-01-29 19:41:00,0,DLSU-BLAST,light_intensity,1,472.917
254,679,2023-01-29 19:41:00,0,DLSU-BLAST,light_intensity,2,45.0
255,680,2023-01-29 19:41:00,0,DLSU-BLAST,light_intensity,3,750.833
256,681,2023-01-29 19:41:00,0,DLSU-BLAST,light_intensity,4,663.75
257,682,2023-01-29 19:41:00,0,DLSU-BLAST,light_intensity,5,617.5
258,683,2023-01-29 19:41:00,0,DLSU-BLAST,light_intensity,6,1556.67
259,684,2023-01-29 19:41:00,0,DLSU-BLAST,light_intensity,7,893.75
260,685,2023-01-29 19:41:00,0,DLSU-BLAST,light_intensity,8,949.583
261,701,2023-01-29 20:11:00,0,DLSU-BLAST,light_intensity,0,672.5
262,702,2023-01-29 20:11:00,0,DLSU-BLAST,light_intensity,1,474.583
263,703,2023-01-29 20:11:00,0,DLSU-BLAST,light_intensity,2,43.3333
264,704,2023-01-29 20:11:00,0,DLSU-BLAST,light_intensity,3,755.0
265,705,2023-01-29 20:11:00,0,DLSU-BLAST,light_intensity,4,667.083
266,706,2023-01-29 20:11:00,0,DLSU-BLAST,light_intensity,5,624.167
267,707,2023-01-29 20:11:00,0,DLSU-BLAST,light_intensity,6,1561.25
268,708,2023-01-29 20:11:00,0,DLSU-BLAST,light_intensity,7,893.75
269,709,2023-01-29 20:11:00,0,DLSU-BLAST,light_intensity,8,952.083
270,725,2023-01-29 20:41:00,0,DLSU-BLAST,light_intensity,0,692.5
271,726,2023-01-29 20:41:00,0,DLSU-BLAST,light_intensity,1,475.833
272,727,2023-01-29 20:41:00,0,DLSU-BLAST,light_intensity,2,47.5
273,728,2023-01-29 20:41:00,0,DLSU-BLAST,light_intensity,3,755.417
274,729,2023-01-29 20:41:00,0,DLSU-BLAST,light_intensity,4,668.75
275,730,2023-01-29 20:41:00,0,DLSU-BLAST,light_intensity,5,624.167
276,731,2023-01-29 20:41:00,0,DLSU-BLAST,light_intensity,6,1560.0
277,732,2023-01-29 20:41:00,0,DLSU-BLAST,light_intensity,7,897.917
278,733,2023-01-29 20:41:00,0,DLSU-BLAST,light_intensity,8,957.083
279,749,2023-01-29 21:11:00,0,DLSU-BLAST,light_intensity,0,665.0
280,750,2023-01-29 21:11:00,0,DLSU-BLAST,light_intensity,1,463.333
281,751,2023-01-29 21:11:00,0,DLSU-BLAST,light_intensity,2,47.9167
282,752,2023-01-29 21:11:00,0,DLSU-BLAST,light_intensity,3,757.5
283,753,2023-01-29 21:11:00,0,DLSU-BLAST,light_intensity,4,652.083
284,754,2023-01-29 21:11:00,0,DLSU-BLAST,light_intensity,5,601.667
285,755,2023-01-29 21:11:00,0,DLSU-BLAST,light_intensity,6,1561.25
286,756,2023-01-29 21:11:00,0,DLSU-BLAST,light_intensity,7,858.333
287,757,2023-01-29 21:11:00,0,DLSU-BLAST,light_intensity,8,965.0
288,773,2023-01-29 21:41:00,0,DLSU-BLAST,light_intensity,0,708.333
289,774,2023-01-29 21:41:00,0,DLSU-BLAST,light_intensity,1,483.75
290,775,2023-01-29 21:41:00,0,DLSU-BLAST,light_intensity,2,51.25
291,776,2023-01-29 21:41:00,0,DLSU-BLAST,light_intensity,3,779.167
292,777,2023-01-29 21:41:00,0,DLSU-BLAST,light_intensity,4,667.917
293,778,2023-01-29 21:41:00,0,DLSU-BLAST,light_intensity,5,620.833
294,779,2023-01-29 21:41:00,0,DLSU-BLAST,light_intensity,6,1580.0
295,780,2023-01-29 21:41:00,0,DLSU-BLAST,light_intensity,7,879.583
296,781,2023-01-29 21:41:00,0,DLSU-BLAST,light_intensity,8,979.167
