,datetime,expt_num,type,index,value
613,2023-05-24,0,dli,1,0.0843818
614,2023-05-24,0,dli,2,0.182615
615,2023-05-24,0,dli,3,0.216939
616,2023-05-24,0,dli,4,0.138631
617,2023-05-24,0,dli,5,0.171679
618,2023-05-24,0,dli,6,0.233827
619,2023-05-24,0,dli,7,0.0475672
620,2023-05-24,0,dli,8,0.0
621,2023-05-27,0,dli,0,0.0
622,2023-05-27,0,dli,1,0.0
623,2023-05-27,0,dli,2,0.0
624,2023-05-27,0,dli,3,0.0
625,2023-05-27,0,dli,4,0.0
626,2023-05-27,0,dli,5,0.0
627,2023-05-27,0,dli,6,0.0
628,2023-05-27,0,dli,7,0.0
629,2023-05-27,0,dli,8,0.0
630,2023-05-29,0,dli,0,0.0
631,2023-05-29,0,dli,1,0.0
632,2023-05-29,0,dli,2,0.0
633,2023-05-29,0,dli,3,0.0
634,2023-05-29,0,dli,4,0.0
635,2023-05-29,0,dli,5,0.0
636,2023-05-29,0,dli,6,0.0
637,2023-05-29,0,dli,7,0.0
638,2023-05-29,0,dli,8,0.0
639,2023-06-03,0,dli,0,0.0239355
640,2023-06-03,0,dli,1,0.1451
641,2023-06-03,0,dli,2,0.275081
642,2023-06-03,0,dli,3,0.42456
643,2023-06-03,0,dli,4,0.814937
644,2023-06-03,0,dli,5,0.437686
645,2023-06-03,0,dli,6,1.39747
646,2023-06-03,0,dli,7,0.593067
647,2023-06-03,0,dli,8,0.0
648,2023-06-04,0,dli,0,4.96448
649,2023-06-04,0,dli,1,2.54811
650,2023-06-04,0,dli,2,4.43835
651,2023-06-04,0,dli,3,6.53859
652,2023-06-04,0,dli,4,3.31162
653,2023-06-04,0,dli,5,1.8162
654,2023-06-04,0,dli,6,4.70446
655,2023-06-04,0,dli,7,2.58268
656,2023-06-04,0,dli,8,0.0
657,2023-06-05,0,dli,0,0.572486
658,2023-06-05,0,dli,1,0.935827
659,2023-06-05,0,dli,2,2.01672
660,2023-06-05,0,dli,3,3.16571
661,2023-06-05,0,dli,4,1.50322
662,2023-06-05,0,dli,5,0.197894
663,2023-06-05,0,dli,6,2.53851
664,2023-06-05,0,dli,7,1.6104
665,2023-06-05,0,dli,8,0.0
666,2023-06-06,0,dli,0,0.522819
667,2023-06-06,0,dli,1,0.517118
668,2023-06-06,0,dli,2,1.26153
669,2023-06-06,0,dli,3,2.00481
670,2023-06-06,0,dli,4,1.35404
671,2023-06-06,0,dli,5,0.231192
672,2023-06-06,0,dli,6,2.12388
673,2023-06-06,0,dli,7,1.05078
674,2023-06-06,0,dli,8,0.0
675,2023-06-07,0,dli,0,1.36344
676,2023-06-07,0,dli,1,2.17379
